,OverallQual,GarageCars,TotalBsmtSF,GrLivArea,GarageArea,FullBath,YearBuilt,GarageYrBlt,ExterQual_TA,1stFlrSF,KitchenQual_TA,LotFrontage,ExterQual_Gd,Foundation_PConc,TotRmsAbvGrd,KitchenQual_Gd,YearRemodAdd,BsmtQual_Gd,Fireplaces,BsmtFinSF1,BsmtQual_TA,FireplaceQu_None,GarageFinish_Unf,GarageType_Attchd,BsmtUnfSF,GarageType_Detchd,MSSubClass_60,2ndFlrSF,OverallCond,BsmtFinType1_GLQ,Foundation_CBlock,Exterior1st_VinylSd,LotShape_Reg,MSSubClass_30,HeatingQC_TA,LotArea,MasVnrArea,MasVnrType_None,Neighborhood_NAmes,MSZoning_RM,CentralAir_Y,SaleCondition_Partial,GarageQual_None,HalfBath,GarageFinish_RFn,FireplaceQu_Gd,Neighborhood_NridgHt,GarageQual_TA,HouseStyle_2Story,FireplaceQu_TA,WoodDeckSF,PavedDrive_Y,GarageCond_TA,Neighborhood_NoRidge,MSZoning_RL,SaleType_WD,BedroomAbvGr,Electrical_SBrkr,MasVnrType_Stone,Neighborhood_Somerst,Neighborhood_CollgCr,OpenPorchSF,PoolQC_None,BsmtExposure_Gd,Neighborhood_Gilbert,Street_Pave,Neighborhood_OldTown,KitchenAbvGr,BsmtExposure_No,YrSold,Fence_MnPrv,MSZoning_FV,MasVnrType_BrkFace,Neighborhood_MeadowV,Exterior1st_Wd Sdng,EnclosedPorch,BsmtCond_Gd,Exterior2nd_Wd Sdng,KitchenQual_Fa,BsmtFinType1_Rec,BsmtFinSF2,MSSubClass_160,Exterior1st_CemntBd,Neighborhood_ClearCr,Neighborhood_BrkSide,RoofStyle_Hip,Neighborhood_IDOTRR,GarageType_BuiltIn,MSSubClass_50,Neighborhood_StoneBr,HeatingQC_Gd,Neighborhood_Sawyer,PavedDrive_P,Fence_None,HouseStyle_SFoyer,GarageCond_Fa,SaleCondition_Normal,MSSubClass_45,Functional_Typ,LotConfig_Inside,Exterior1st_MetalSd,Electrical_FuseF,Exterior1st_HdBoard,BsmtQual_Fa,HeatingQC_Fa,Exterior2nd_Plywood,ExterCond_TA,BldgType_Duplex,LotConfig_CulDSac,Alley_None,LotShape_IR2,Neighborhood_Edwards,BsmtFinType2_BLQ,RoofStyle_Gable,GarageCond_Po,Functional_Min2,LandSlope_Mod,ScreenPorch,ExterQual_Fa,Neighborhood_SawyerW,FireplaceQu_Po,LandContour_Lvl,MSSubClass_40,LandContour_HLS,RoofMatl_Tar&Grv,SaleType_ConLw,BsmtExposure_None,Neighborhood_BrDale,RoofStyle_Mansard,MiscVal,BldgType_TwnhsE,Alley_Pave,Exterior1st_WdShing,GarageType_CarPort,Fence_GdWo,Exterior1st_BrkFace,Condition2_Norm,BsmtFinType1_Unf,Heating_Grav,HouseStyle_SLvl,Foundation_Slab,BsmtExposure_Mn,MSSubClass_70,BsmtFinType2_Rec,Condition1_RRAe,Exterior2nd_BrkFace,HouseStyle_1.5Unf,Neighborhood_Mitchel,Electrical_FuseP,Neighborhood_NWAmes,MSSubClass_180,HouseStyle_2.5Unf,RoofStyle_Shed,BsmtFinType2_GLQ,LandSlope_Sev,MSSubClass_85,LotConfig_FR3,LotConfig_FR2,RoofMatl_WdShngl,BsmtHalfBath,Neighborhood_Blueste,Exterior1st_BrkComm,Neighborhood_Timber,Condition1_Norm,Neighborhood_SWISU,BldgType_2fmCon,Neighborhood_Veenker,Condition1_PosA,SaleCondition_Alloca,SaleType_ConLD,3SsnPorch,LotShape_IR3,Condition1_PosN,BsmtFinType1_LwQ,BsmtFinType1_BLQ,MSZoning_RH,Neighborhood_NPkVill,FireplaceQu_Fa
0,7,2.0,856.0,1710,548.0,2,2003,2003.0,0,856,0,65.0,1,1,8,1,2003,1,0,706.0,0,1,0,1,150.0,0,1,854,5,1,0,1,1,0,0,8450,196.0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,3,1,0,0,1,61,1,0,0,1,0,1,1,2008,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2.0,1262.0,1262,460.0,2,1976,1976.0,1,1262,1,80.0,0,0,6,0,1976,1,1,978.0,0,0,0,1,284.0,0,0,0,8,0,1,0,1,0,0,9600,0.0,1,0,0,1,0,0,0,1,0,0,1,0,1,298,1,1,0,1,1,3,1,0,0,0,0,1,1,0,1,0,1,0,2007,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,7,2.0,920.0,1786,608.0,2,2001,2001.0,0,920,0,68.0,1,1,6,1,2002,1,1,486.0,0,0,0,1,434.0,0,1,866,5,1,0,1,0,0,0,11250,162.0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,3,1,0,0,1,42,1,0,0,1,0,1,0,2008,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,3.0,756.0,1717,642.0,1,1915,1998.0,1,961,0,60.0,0,0,7,1,1970,0,1,216.0,1,0,1,0,540.0,1,0,756,5,0,0,0,0,0,0,9550,0.0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,3,1,0,0,0,35,1,0,0,1,0,1,1,2006,0,0,0,0,1,272,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,3.0,1145.0,2198,836.0,2,2000,2000.0,0,1145,0,84.0,1,1,9,1,2000,1,1,655.0,0,0,0,1,490.0,0,1,1053,5,1,0,1,0,0,0,14260,350.0,0,0,0,1,0,0,1,1,0,0,1,1,1,192,1,1,1,1,1,4,1,0,0,0,84,1,0,0,1,0,1,0,2008,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2.0,796.0,1362,480.0,1,1993,1993.0,1,796,1,85.0,0,0,5,0,1995,1,0,732.0,0,1,1,1,64.0,0,0,566,5,1,0,1,0,0,0,14115,0.0,1,0,0,1,0,0,1,0,0,0,1,0,0,40,1,1,0,1,1,1,1,0,0,0,30,1,0,0,1,0,1,1,2009,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,320,0,0,0,0,0,0,0
6,8,2.0,1686.0,1694,636.0,2,2004,2004.0,0,1694,0,75.0,1,1,7,1,2005,0,1,1369.0,0,0,0,1,317.0,0,0,0,5,1,0,1,1,0,0,10084,186.0,0,0,0,1,0,0,0,1,1,0,1,0,0,255,1,1,0,1,1,3,1,1,1,0,57,1,0,0,1,0,1,0,2007,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,2.0,1107.0,2090,484.0,2,1973,1973.0,1,1107,1,73.79990556565855,0,0,7,0,1973,1,2,859.0,0,0,0,1,216.0,0,1,983,6,0,1,0,0,0,0,10382,240.0,0,0,0,1,0,0,1,1,0,0,1,1,1,235,1,1,0,1,1,3,1,1,0,0,204,1,0,0,1,0,1,0,2009,0,0,0,0,0,228,0,0,0,0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,350,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,7,2.0,952.0,1774,468.0,2,1931,1931.0,1,1022,1,51.0,0,0,8,0,1950,0,2,0.0,1,0,1,0,952.0,1,0,752,5,0,0,0,1,0,0,6120,0.0,1,0,1,1,0,0,0,0,0,0,0,0,1,90,1,1,0,0,1,2,0,0,0,0,0,1,0,0,1,1,2,1,2008,0,0,0,0,0,205,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,1.0,991.0,1077,205.0,1,1939,1939.0,1,1077,1,50.0,0,0,5,0,1950,0,2,851.0,1,0,0,1,140.0,0,0,0,6,1,0,0,1,0,0,7420,0.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,2,1,0,0,0,4,1,0,0,1,0,2,1,2008,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
