,TotalSF,OverallQual,KitchenExterQual,GrLivArea,TotalBsmtSF,GarageArea,GarageCars,Baths,ExterQual,KitchenQual,BsmtQual,GarageYrBlt,FullBath,YearBuilt,1stFlrSF,After91,LotFrontage,YearRemodAdd,FireplaceQu,HasFireplaces,FoundationGroup_PConc,TotRmsAbvGrd,Fireplaces,HeatingQC,NeighGroup_NNS,BsmtFinSF1,GarageFinish_Unf,HasOpenPorchSF,HeatingEx,NeighGroup_BlueSwis,MSSubClassGroup_60,BsmtUnfSF,GarageType_Attchd,OverallCond,2ndFlrSF,Foundation_CBlock,MSZoningGroup_Group2,GarageType_Detchd,BsmtFinType1_GLQ,Ext1stGrp_Group2,MasVnrArea,LotArea,SaleCondition_Partial,LotShapeGroup_Group3,MSSubClassGroup_Group2,GarageFinish_RFn,SaleTypeGroup_Group2,BedroomAbvGr,Ext1stGrp_Group4,NeighGroup_BNS,MSZoning_RM,Neighborhood_NAmes,HasWoodDeckSF,Exterior1st_VinylSd,NeighGroup_STV,MasVnrType_None,NeighGroup_C3,OpenPorchSF,GarageFinish_None,Neighborhood_NridgHt,HasMasVnrArea,Electrical_SBrkr,MSSubClass_30,Neighborhood_Somerst,MasVnrGroup_Group3,GarageCond,Neighborhood_NoRidge,Exterior2nd_Wd Sdng,MSZoning_RL,WoodDeckSF,SaleType_WD,NeighGroup_BrMeadow,HasGarageArea,MasVnrGroup_Group2,BsmtCond,Neighborhood_OldTown,MSSubClassGroup_Group1,Neighborhood_CollgCr,Neighborhood_Gilbert,Fence_None,GarageQual,CentralAir_Y,Exterior1st_Wd Sdng,HouseStyle_2Story,HasEnclosedPorch,Neighborhood_IDOTRR,MSZoning_FV,BsmtFullBath,PavedDrive_Y,HasScreenPorch,ExposureGroup_Group2,Neighborhood_BrkSide,LotConfig_CulDSac,HasTotalBsmtSF,ExposureGroup_Group4,Neighborhood_NPkVill,Alley_None,Fence_MnPrv,ExposureGroup_None,RoofstyleGroup_Group2,GarageType_BuiltIn,MSSubClass_50,Electrical_FuseF,Has2ndFlrSF,BldgGroup_BldgGroup,Neighborhood_BrDale,MSSubClass_160,Ext1stGrp_Group3,Neighborhood_Edwards,Exterior1st_MetalSd,SaleCondition_Normal,HouseStyle_SLvl,Neighborhood_Sawyer,SaleType_ConLD,MSSubClass_80,Foundation_Wood,BsmtFinType1_Rec,LandContourGroup_Group2,Ext1stGrp_Group5,YrSold,Neighborhood_StoneBr,Exterior2nd_Plywood,GarageType_CarPort,MSSubClass_90,LandContourGroup_Group3,MSSubClassGroup_Group3,Neighborhood_Crawfor,Neighborhood_NWAmes,LotConfig_Inside,Functional_Typ,Neighborhood_SawyerW,Exterior2nd_HdBoard,BldgType_Twnhs,KitchenAbvGr,MSSubClass_180,ExterCond,LandContour_Low,HouseStyle_SFoyer,HouseStyle_1Story,FoundationGroup_Slab,MSSubClass_85,Neighborhood_Mitchel,Exterior2nd_Stucco,PoolQC,HouseStyle_1.5Unf,MSSubClass_20,Alley_Pave,RoofStyle_Shed,BsmtFinType1_BLQ,SaleCondition_Alloca,Exterior2nd_Wd Shng,BsmtExposure_Mn,Electrical_FuseP,Heating_Wall,MSSubClass_45,Neighborhood_Blueste,Neighborhood_Timber,Functional_Min2,HasMiscVal,RoofStyle_Hip,BldgType_2fmCon,Exterior2nd_Brk Cmn,LandContour_HLS,LotShape_IR3,LotShape_IR2,Exterior1st_AsphShn,Exterior2nd_AsphShn,PavedDrive_P,RoofMatl_WdShake,LotShapeGroup_Group2,RoofMatl_WdShngl,Street_Pave,Condition1_RRAe,Condition2_Feedr,SaleType_CWD,SaleConditionGroup_Group2,Functional_Mod,BsmtFinType2_BLQ,RoofMatl_Tar&Grv,MSZoning_RH,HouseStyle_2.5Unf,Neighborhood_Veenker,MSSubClass_70,Exterior1st_CemntBd,Condition1_PosA,Condition1_PosN,Neighborhood_SWISU,Condition2_Norm,BsmtFinSF2,Exterior1st_WdShing,Neighborhood_MeadowV,MSSubClass_40,Condition2_PosA,BsmtFinType2_Rec,LowQualFinSF,RoofStyle_Gambrel
0,2566.0,7,8.0,1710,856.0,548.0,2.0,3.5,4,4.0,4,2003.0,2,2003,856,1,65.0,2003,0,0,1,8,0,5,0,706.0,0,1,1,0,1,150.0,1,5,854,0,1,0,1,1,196.0,8450,0,1,0,1,0,3,0,0,0,0,0,1,0,0,1,61,0,0,1,1,0,0,0,3,0,0,1,0,1,0,1,1,3,0,0,1,0,1,3,1,0,1,0,0,0,1.0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
1,2524.0,6,6.0,1262,1262.0,460.0,2.0,2.5,3,3.0,4,1976.0,2,1976,1262,0,80.0,1976,3,1,0,6,1,5,0,978.0,0,0,1,0,0,284.0,1,8,0,1,1,0,0,0,0.0,9600,0,1,0,1,0,3,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,1,298,1,0,1,0,3,0,0,0,0,1,3,1,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2007,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
2,2706.0,7,8.0,1786,920.0,608.0,2.0,3.5,4,4.0,4,2001.0,2,2001,920,1,68.0,2002,3,1,1,6,1,5,0,486.0,0,1,1,0,1,434.0,1,5,866,0,1,0,1,1,162.0,11250,0,0,0,1,0,3,0,0,0,0,0,1,0,0,1,42,0,0,1,1,0,0,0,3,0,0,1,0,1,0,1,1,3,0,0,1,0,1,3,1,0,1,0,0,0,1.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
3,2473.0,7,7.0,1717,756.0,642.0,3.0,2.0,3,4.0,3,1998.0,1,1915,961,0,60.0,1970,4,1,0,7,1,4,0,216.0,1,1,0,0,0,540.0,0,5,756,0,1,1,0,0,0.0,9550,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,35,0,0,0,1,0,0,0,3,0,0,1,0,1,0,1,0,4,0,1,0,0,1,3,1,1,1,1,0,0,1.0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0,0
4,3343.0,8,8.0,2198,1145.0,836.0,3.0,3.5,4,4.0,4,2000.0,2,2000,1145,1,84.0,2000,3,1,1,9,1,5,1,655.0,0,1,1,0,1,490.0,1,5,1053,0,1,0,1,1,350.0,14260,0,0,0,1,0,4,0,0,0,0,1,1,0,0,0,84,0,0,1,1,0,0,0,3,1,0,1,192,1,0,1,1,3,0,0,0,0,1,3,1,0,1,0,0,0,1.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
5,2158.0,5,6.0,1362,796.0,480.0,2.0,2.5,3,3.0,4,1993.0,1,1993,796,1,85.0,1995,0,0,0,5,0,5,0,732.0,1,1,1,1,0,64.0,1,5,566,0,1,0,1,1,0.0,14115,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,30,0,0,0,1,0,0,0,3,0,0,1,40,1,0,1,0,3,0,1,0,0,0,3,1,0,0,0,0,0,1.0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2009,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
6,3380.0,8,8.0,1694,1686.0,636.0,2.0,3.0,4,4.0,5,2004.0,2,2004,1694,1,75.0,2005,4,1,1,7,1,5,0,1369.0,0,1,1,0,0,317.0,1,5,0,0,1,0,1,1,186.0,10084,0,1,0,1,0,3,0,0,0,0,1,1,1,0,0,57,0,0,1,1,0,1,1,3,0,0,1,255,1,0,1,0,3,0,0,0,0,1,3,1,0,0,0,0,0,1.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
7,3197.0,7,6.0,2090,1107.0,484.0,2.0,3.5,3,3.0,4,1973.0,2,1973,1107,0,69.7773784584948,1973,3,1,0,7,2,5,0,859.0,0,1,1,0,1,216.0,1,6,983,1,1,0,0,0,240.0,10382,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,204,0,0,1,1,0,0,1,3,0,0,1,235,1,0,1,0,3,0,0,0,0,1,3,1,0,1,1,0,0,1.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2009,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,32.0,0,0,0,0,0,0,0
8,2726.0,7,6.0,1774,952.0,468.0,2.0,2.0,3,3.0,3,1931.0,2,1931,1022,0,51.0,1950,3,1,0,8,2,4,0,0.0,1,0,0,0,0,952.0,0,5,752,0,0,1,0,1,0.0,6120,0,1,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,90,1,0,1,0,3,1,1,0,0,1,2,1,0,0,1,0,0,0.0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
9,2068.0,5,6.0,1077,991.0,205.0,1.0,2.0,3,3.0,3,1939.0,1,1939,1077,0,50.0,1950,3,1,0,5,2,5,0,851.0,0,1,1,0,0,140.0,1,6,0,0,1,0,1,0,0.0,7420,0,1,0,1,0,2,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,3,0,0,1,0,1,0,1,0,3,0,1,0,0,1,4,1,0,0,0,0,0,1.0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2008,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
