,OverallQual,GarageCars,KitchenExterQual,GrLivArea,Baths,BsmtQual,YearBuiltRev,LotFrontage,1stFlrSF,HasPconc,YearRemodAdd,TotRmsAbvGrd,BsmtFinSF1,HasFireplaces,NeighGroup_NNS,HeatingQC,HasOpenPorchSF,NeighGroup_BlueSwis,GarageFinish_Unf,GarageType_Detchd,GarageType_Attchd,GarageFinish_Fin,BsmtUnfSF,MSSubClass_60,2ndFlrSF,OverallCond,SaleCondition_Partial,NeighGroup_BEO,BsmtFinType1_GLQ,Foundation_CBlock,MSZoning_RM,GarageQual,GarageFinish_RFn,Exterior1st_VinylSd,HasMasVnrArea,Electrical_SBrkr,LotShape_Reg,HasWoodDeckSF,MasVnrType_None,Neighborhood_NAmes,LotArea,GarageCond,NeighGroup_C3,MSSubClass_30,Neighborhood_NridgHt,CentralAir_Y,NeighGroup_BNS,LotShape_IR1,NeighGroup_STV,PavedDrive_Y,HasVnrStone,Neighborhood_Somerst,HasGarageArea,Neighborhood_NoRidge,BedroomAbvGr,Neighborhood_Gilbert,HouseStyle_2Story,MasVnrType_BrkFace,BsmtExposure_Gd,MSZoning_RL,NeighGroup_BrMeadow,Neighborhood_MeadowV,Foundation_BrkTil,MSZoning_FV,Electrical_FuseA,Neighborhood_CollgCr,Neighborhood_OldTown,GarageType_BuiltIn,BsmtCond,BsmtFinType1_ALQ,BsmtExposure_None,Fence_MnPrv,MSSubClass_160,Neighborhood_BrkSide,Neighborhood_Edwards,MSSubClass_50,Neighborhood_BrDale,Exterior1st_Wd Sdng,BsmtExposure_No,SaleType_COD,Neighborhood_NWAmes,BsmtExposure_Av,Neighborhood_NPkVill,ExterCond,LandContour_Bnk,EnclosedPorch,IsDuplex
6,8,2.0,8.0,1694,3.0,5,129,75.0,1694,1,2005,7,1369.0,1,0,5,1,0,0,0,1,0,317.0,0,0,5,0,0,1,0,0,3,1,1,1,1,1,1,0,0,10084,3,0,0,0,1,0,0,1,1,1,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
807,5,2.0,7.0,1576,3.5,3,48,144.0,1072,0,2004,6,1309.0,1,0,5,1,0,0,0,1,0,15.0,0,504,6,0,1,1,1,0,3,1,0,0,1,1,0,1,0,21384,3,0,0,0,1,0,0,0,1,0,0,1,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0
955,6,2.0,6.0,1958,2.0,4,71,82.0,979,0,1950,8,484.0,0,0,3,0,0,1,0,1,0,495.0,0,979,6,0,0,0,1,0,3,0,0,1,0,0,0,0,0,7136,3,1,0,0,0,0,1,0,1,0,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1
1040,5,2.0,6.0,1803,3.0,3,82,88.0,1803,0,2000,8,168.0,1,0,5,0,1,0,0,1,0,284.0,0,0,4,0,0,0,1,0,3,1,0,1,1,1,0,0,0,13125,3,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0
701,7,2.0,6.0,1164,1.5,3,94,80.0,1164,0,1969,6,0.0,0,0,3,0,0,1,0,1,0,1164.0,0,0,5,0,0,0,1,0,3,0,0,1,1,1,0,0,0,9600,3,0,0,0,1,1,0,0,1,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0
303,5,2.0,6.0,894,2.0,3,97,70.0,894,1,1972,5,894.0,0,0,3,0,0,1,0,1,0,0.0,0,0,7,0,0,0,0,0,3,0,1,0,1,1,1,1,0,9800,3,1,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
1264,6,2.0,8.0,1337,3.0,4,123,34.0,1337,1,1999,5,266.0,0,0,5,1,1,0,0,1,1,1139.0,0,0,5,0,0,1,0,0,3,0,0,0,1,1,1,1,1,4060,3,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0
216,7,2.0,8.0,1436,3.0,4,129,65.0,1436,1,2004,8,946.0,0,0,5,1,0,1,0,1,0,490.0,0,0,5,0,0,1,0,0,3,0,1,1,1,1,1,0,0,8450,3,1,0,0,1,0,0,0,1,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1157,7,2.0,8.0,1314,3.0,4,132,34.0,1314,1,2008,6,904.0,1,1,5,1,0,0,0,1,0,410.0,0,0,5,0,0,1,0,0,3,1,1,1,1,0,1,0,0,5001,3,0,0,1,1,0,1,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
350,9,2.0,10.0,1869,2.0,5,132,68.0,1869,1,2007,6,0.0,1,1,5,1,0,0,0,1,0,1869.0,0,0,5,1,0,0,0,0,3,1,0,1,1,0,1,0,0,7820,3,0,0,1,1,0,1,0,1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
